Assessment,Type,Country,Region,Date,Status,Availability,"PEFA check",Framework,Language,"Lead Agencies","Link to Content"
"Uganda Jinja District 2013",Subnational,Uganda,"Sub-Saharan Africa",2013,Final,Non-public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/1506
"Uganda Kabale District 2005",Subnational,Uganda,"Sub-Saharan Africa",2005,Final,Non-public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2116
"Uganda Kabale District 2013",Subnational,Uganda,"Sub-Saharan Africa",2013,Final,Non-public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/1501
"Uganda Kampala City Council 2005",Subnational,Uganda,"Sub-Saharan Africa",2005,Final,Non-public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2111
"Uganda Kasese District 2005",Subnational,Uganda,"Sub-Saharan Africa",2005,Final,Non-public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2106
"Uganda Kasese District 2013",Subnational,Uganda,"Sub-Saharan Africa",2013,Final,Non-public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/1496
"Uganda Lira Municipality 2005",Subnational,Uganda,"Sub-Saharan Africa",2005,Final,Non-public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2101
"Uganda Lira Municipality 2013",Subnational,Uganda,"Sub-Saharan Africa",2013,Final,Non-public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/1491
"Uganda Mpigi District 2005",Subnational,Uganda,"Sub-Saharan Africa",2005,Final,Non-public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2096
"Uganda Mpigi District 2013",Subnational,Uganda,"Sub-Saharan Africa",2013,Final,Non-public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/1486
"Uganda Pader District 2013",Subnational,Uganda,"Sub-Saharan Africa",2013,Final,Non-public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/1481
"Uganda Tororo District 2005",Subnational,Uganda,"Sub-Saharan Africa",2005,Final,Non-public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2091
"Uganda Tororo District 2013",Subnational,Uganda,"Sub-Saharan Africa",2013,Final,Non-public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/1476
"Ukraine 2007",National,Ukraine,"Europe & Central Asia",2007,Final,Public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/2891
"Ukraine 2012",National,Ukraine,"Europe & Central Asia",2012,Final,Public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/2061
"Ukraine 2016",National,Ukraine,"Europe & Central Asia",2016,Final,Public,Yes,"2016 Framework",English,"DFID, WB",https://www.pefa.org/node/726
"Ukraine 2019",National,Ukraine,"Europe & Central Asia",2019,Final,Public,Yes,"2016 Framework",English,"Government, WB",https://www.pefa.org/node/3676
"Ukraine Chernivtsi City 2022",Subnational,Ukraine,"Europe & Central Asia",2022,Final,Public,Yes,"2021 SNG Framework",English,SECO,https://www.pefa.org/node/5064
"Ukraine Chernivtsi City GRPFM 2022 /Gender Annex/",Subnational,Ukraine,"Europe & Central Asia",2022,Final,Public,Yes,"Gender Framework",English,SECO,https://www.pefa.org/node/5106
"Ukraine GRPFM 2021",National,Ukraine,"Europe & Central Asia",2021,Final,Public,Yes,"Gender Framework",English,WB,https://www.pefa.org/node/4411
"Ukraine Iziaslavskyi Rayon 2019",Subnational,Ukraine,"Europe & Central Asia",2019,Final,Public,Yes,"2016 Framework",English,"WB, EU, Government",https://www.pefa.org/node/3871
"Ukraine Khmelnitsky City GRPFM 2022/with SD Module",Subnational,Ukraine,"Europe & Central Asia",2022,Final,Non-public,Yes,"Gender Framework",English,SECO,https://www.pefa.org/node/5110
"Ukraine Khmelnytskiy Oblast 2019",Subnational,Ukraine,"Europe & Central Asia",2019,Final,Public,Yes,"2016 Framework",English,"WB, EU",https://www.pefa.org/node/4111
"Ukraine Khmelnytskyi City 2020",Subnational,Ukraine,"Europe & Central Asia",2020,Final,Public,None,"2016 Framework",English,"SECO, Government",https://www.pefa.org/node/4096
"Ukraine Lviv City 2022",Subnational,Ukraine,"Europe & Central Asia",2022,Final,Public,Yes,"2021 SNG Framework",English,SECO,https://www.pefa.org/node/5103
"Ukraine Lviv City GRPFM  2022 /Gender Annex/",Subnational,Ukraine,"Europe & Central Asia",2022,Final,Public,Yes,"Gender Framework",English,SECO,https://www.pefa.org/node/5107
"Ukraine Starosynyavska AH 2020",Subnational,Ukraine,"Europe & Central Asia",2020,Final,Public,Yes,"2016 Framework",English,"EU, Government",https://www.pefa.org/node/3716
"Ukraine Vinnytsia City 2022",Subnational,Ukraine,"Europe & Central Asia",2022,Final,Public,Yes,"2021 SNG Framework",English,SECO,https://www.pefa.org/node/5104
"Ukraine Vinnytsia City GRPFM 2022 /Gender Annex/",Subnational,Ukraine,"Europe & Central Asia",2022,Final,Public,Yes,"Gender Framework",English,SECO,https://www.pefa.org/node/5108
"Ukraine Zhytomyr City 2022",Subnational,Ukraine,"Europe & Central Asia",2022,Final,Public,Yes,"2021 SNG Framework",English,SECO,https://www.pefa.org/node/5105
"Ukraine Zhytomyr City GRPFM 2022 /Gender Annex/",Subnational,Ukraine,"Europe & Central Asia",2022,Final,Public,Yes,"Gender Framework",English,SECO,https://www.pefa.org/node/5109
"Uruguay 2012",National,Uruguay,"Latin America & Caribbean",2012,Final,Non-public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/1471
"Uzbekistan 2012",National,Uzbekistan,"Europe & Central Asia",2012,Final,Public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/1466
"Uzbekistan 2019",National,Uzbekistan,"Europe & Central Asia",2019,Final,Public,Yes,"2016 Framework",English,"EU, Government, WB",https://www.pefa.org/node/196
"Vanuatu 2006",National,Vanuatu,"East Asia & Pacific",2006,Final,Public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2941
"Vanuatu 2009",National,Vanuatu,"East Asia & Pacific",2009,Final,Non-public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2326
"Vanuatu 2013",National,Vanuatu,"East Asia & Pacific",2013,Final,Public,Yes,"2011 Framework",,Government,https://www.pefa.org/node/1376
"Vietnam 2013",National,Vietnam,"East Asia & Pacific",2013,Final,Public,No,"2011 Framework",Vietnamese,Government,https://www.pefa.org/node/1461
"Vietnam 2022",National,Vietnam,"East Asia & Pacific",2022,Draft,Non-public,,"2016 Framework",English,Government,https://www.pefa.org/node/4541
"Vietnam Can Tho City 2022",Subnational,Vietnam,"East Asia & Pacific",2022,Draft,Non-public,,"2021 SNG Framework",English,WB,https://www.pefa.org/node/4956
"Vietnam Da Nang 2016",Subnational,Vietnam,"East Asia & Pacific",2017,Draft,Non-public,None,"2016 Framework",English,WB,https://www.pefa.org/node/731
"Vietnam Tra Vinh 2019",Subnational,Vietnam,"East Asia & Pacific",2019,Final,Non-public,None,"2016 Framework",English,Government,https://www.pefa.org/node/291
"Wallis and Futuna Is. 2009",National,"Wallis and Futuna Is.","East Asia & Pacific",2009,Final,Non-public,"N/A (pre-2012)","2011 Framework",,EU,https://www.pefa.org/node/2236
"West Bank and Gaza 2007",National,"West Bank and Gaza","Middle East & North Africa",2007,Final,Public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/2841
"West Bank and Gaza 2013",National,"West Bank and Gaza","Middle East & North Africa",2013,Final,Public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/1331
"West Bank and Gaza 2019",National,"West Bank and Gaza","Middle East & North Africa",2019,Final,Public,Yes,"2016 Framework",English,WB,https://www.pefa.org/node/171
"Yemen 2008",National,Yemen,"Middle East & North Africa",2008,Final,Public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/2836
"Zambia 2005",National,Zambia,"Sub-Saharan Africa",2005,Final,Public,"N/A (pre-2012)","2011 Framework",,DFID,https://www.pefa.org/node/2966
"Zambia 2008",National,Zambia,"Sub-Saharan Africa",2008,Final,Non-public,"N/A (pre-2012)","2011 Framework",,Government,https://www.pefa.org/node/2376
"Zambia 2013",National,Zambia,"Sub-Saharan Africa",2013,Final,Public,No,"2011 Framework",English,Government,https://www.pefa.org/node/1456
"Zambia 2017",National,Zambia,"Sub-Saharan Africa",2017,Final,Public,Yes,"2016 Framework",English,"Government, WB",https://www.pefa.org/node/631
"Zimbabwe 2012",National,Zimbabwe,"Sub-Saharan Africa",2012,Final,Public,"N/A (pre-2012)","2011 Framework",,WB,https://www.pefa.org/node/1391
"Zimbabwe 2018",National,Zimbabwe,"Sub-Saharan Africa",2018,Final,Public,Yes,"2016 Framework",English,"Government, WB",https://www.pefa.org/node/356
